Title,Genre,Premiere,Seasons,Runtime
Foundation,Science fiction,2021,"1 season, 10 episodes",TBA
Echo 3,Thriller,TBA,"1 season, 10 episodes",TBA
The Essex Serpent,Period drama,TBA,TBA,TBA
Extrapolations,Drama anthology,TBA,"1 season, 10 episodes",TBA
Five Days at Memorial,Drama miniseries,TBA,TBA,TBA
Hedy Lamarr,Biopic miniseries,TBA,8 episodes,TBA
Invasion,Science fiction,TBA,"1 season, 10 episodes",TBA
The Last Days of Ptolemy Grey,Drama miniseries,TBA,6 episodes,TBA
The Last Thing He Told Me,Thriller miniseries,TBA,TBA,TBA
Lisey's Story,Horror drama miniseries,TBA,8 episodes,TBA
Masters of the Air,War drama miniseries,TBA,TBA,TBA
The Mosquito Coast,Drama,TBA,TBA,TBA
My Glory Was I Had Such Friends,Drama miniseries,TBA,TBA,60 min.
Pachinko,Drama,TBA,"1 season, 8 episodes",TBA
Severance,Thriller,TBA,"1 season, 10 episodes",TBA
Shantaram,Drama,TBA,"1 season, 10 episodes",TBA
Shining Girls,Thriller,TBA,TBA,TBA
Slow Horses,Spy drama,TBA,TBA,TBA
Surface,Psychological thriller,TBA,"1 season, 8 episodes",TBA
Suspicion,Thriller,TBA,TBA,TBA
Swagger!,Sports drama,TBA,TBA,TBA
Untitled Brie Larson CIA series,Spy drama,TBA,TBA,TBA
Untitled Damien Chazelle series,Drama,TBA,TBA,60 min.
Untitled Team Downey/Adam Perlman series,Crime drama,TBA,TBA,TBA
