Title,Genre,Premiere,Seasons,Length,Status
Battleground,Mockumentary,"February 14, 2012","1 season, 13 episodes",22 min.,Ended[16]
Quick Draw,Western,"August 5, 2013","2 seasons, 18 episodes",22 min.,Ended[17]
Deadbeat,Supernatural,"April 9, 2014","3 seasons, 36 episodes",23 min.,Ended[18]
The Hotwives,Parody,"July 15, 2014","2 seasons, 14 episodes",23 min.,Ended
The Neighbors,Sitcom,"March 14, 2015","1 season, 6 episodes",22-32 min.,Ended
Difficult People,Dark comedy,"August 5, 2015","3 seasons, 28 episodes",22–29 min.,Ended[19]
Casual,Comedy,"October 5, 2015","4 seasons, 44 episodes",23–24 min.,Ended[20]
Future Man,Science fiction,"November 14, 2017","3 seasons, 34 episodes",27–35 min.,Ended[21]
All Night,Teen comedy,"May 11, 2018","1 season, 10 episodes",22–24 min.,Ended
PEN15,Teen comedy,"February 8, 2019","2 seasons, 17 episodes",22–24 min.,Season 2 ongoing[22]
Shrill,Comedy,"March 15, 2019","2 seasons, 14 episodes",30 min.,Renewed[23]
Ramy,Comedy-drama,"April 19, 2019","2 seasons, 20 episodes",23–31 min.,Renewed[24]
Four Weddings and a Funeral,Romantic comedy anthology series,"July 31, 2019",10 episodes,44–50 min.,Miniseries
Dollface,Comedy,"November 15, 2019","1 season, 10 episodes",22–32 min.,Renewed[13]
High Fidelity,Comedy-drama,"February 14, 2020","1 season, 10 episodes",26–34 min.,Ended[25]
The Great,Historical comedy,"May 15, 2020","1 season, 10 episodes",50–55 min.,Renewed[26]
"Love, Victor",Romantic comedy,"June 17, 2020","1 season, 10 episodes",25–31 min.,Renewed[27]
Woke,Comedy,"September 9, 2020","1 season, 8 episodes",25–34 min.,Renewed[28]
