Title,Genre,Premiere,Runtime,Language
What Did Jack Do?,Drama / Short,"January 20, 2020",17 min.,English
Road to Roma,Making-of,"February 11, 2020","1 hour, 12 min.",Spanish
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15 min.,English
Sol Levante,Anime / Short,"April 2, 2020",4 min.,English
Ben Platt: Live from Radio City Music Hall,Concert film,"May 20, 2020","1 hour, 25 min.",English
Octonauts & the Caves of Sac Actun,Animation,"August 14, 2020","1 hour, 12 min.",English
The Boys in the Band: Something Personal,Aftershow / Interview,"September 30, 2020",28 min.,English
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47 min.,English
Sarah Cooper: Everything's Fine,Variety show,"October 27, 2020",49 min.,English
I'm No Longer Here:  A Discussion with Guillermo Del Toro and Alfonso Cuarón,Aftershow / Interview,"November 3, 2020",14 min.,English
Alien Xmas,Stop motion,"November 20, 2020",42 min.,English
If Anything Happens I Love You,Animation / Short,"November 20, 2020",12 min.,English
Shawn Mendes: Live in Concert,Concert film,"November 25, 2020","1 hour, 27 min.",English
Angela's Christmas Wish,Animation,"December 1, 2020",47 min.,English
Canvas,Animation / Short,"December 11, 2020",9 min.,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,"December 18, 2020",31 min.,English
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
"Ariana Grande: Excuse Me, I Love You[31]",Concert film,"December 21, 2020",TBA,English
Death to 2020[32],Comedy,"December 27, 2020",TBA,English
Cops and Robbers[33],Animation / Short,"December 28, 2020[34]",TBA,English
